Ensembl Gene ID	RefSeq mRNA	RefSeq Protein ID	RefSeq Predicted Protein ID
ENSG00000187144	NM_198546	NP_940948	
ENSG00000182224			
ENSG00000182224	NM_144607	NP_653208	
ENSG00000170004	NM_001005271	NP_001005271	
ENSG00000170004	NM_005852	NP_005843	
ENSG00000170004	NM_001005273	NP_001005273	
ENSG00000170004			
ENSG00000157191	NM_018090	NP_060560	
ENSG00000157191	NM_001145278	NP_060560	
ENSG00000157191			
ENSG00000157191	NM_001145278	NP_001138750	
ENSG00000157191	NM_001145277	NP_001138749	
ENSG00000163331	NM_001017920	NP_001017920	
ENSG00000163331			
ENSG00000115183	NM_001145909	NP_001139381	
ENSG00000115183	NM_033394	NP_001139381	
ENSG00000115183	NM_001145909	NP_203752	
ENSG00000115183	NM_033394	NP_203752	
ENSG00000115183			
ENSG00000197511			XP_003118553
ENSG00000237847			XP_001721585
ENSG00000237847			XP_001715421
ENSG00000237847			XP_001130683
ENSG00000186715			
ENSG00000196151	NM_152528	NP_689741	
ENSG00000196151	NM_001128212	NP_689741	
ENSG00000196151	NM_001128213	NP_689741	
ENSG00000196151	NM_152528	NP_001121685	
ENSG00000196151	NM_001128212	NP_001121685	
ENSG00000196151	NM_001128213	NP_001121685	
ENSG00000196151	NM_152528	NP_001121684	
ENSG00000196151	NM_001128212	NP_001121684	
ENSG00000196151	NM_001128213	NP_001121684	
ENSG00000196151			
ENSG00000170049	NM_004732	NP_004723	
ENSG00000196690			
ENSG00000058453	NM_014675	NP_055490	
ENSG00000058453			
ENSG00000170043	NM_021210	NP_001160093	
ENSG00000170043	NM_001166621	NP_001160093	
ENSG00000170043	NM_021210	NP_067033	
ENSG00000170043	NM_001166621	NP_067033	
ENSG00000123636			
ENSG00000123636	NM_013450	NP_038478	
ENSG00000214970			
ENSG00000109063	NM_002470	NP_002461	
ENSG00000170037	NM_053051	NP_444279	
ENSG00000170037	NM_001037144	NP_444279	
ENSG00000170037	NM_053051	NP_001032221	
ENSG00000170037	NM_001037144	NP_001032221	
ENSG00000170037			
ENSG00000053372	NM_016183	NP_057267	
ENSG00000184611	NM_033272	NP_150375	
ENSG00000184611	NM_173162	NP_775185	
ENSG00000133028	NM_004589	NP_004580	
ENSG00000133028			
ENSG00000132518	NM_000180	NP_000171	
ENSG00000182263			
ENSG00000182263	NM_018086	NP_060556	
ENSG00000211454			
ENSG00000211454	NM_201252		
ENSG00000179593	NM_001141	NP_001132	
ENSG00000179593	NM_001039130	NP_001034219	
ENSG00000179593	NM_001039131	NP_001034220	
ENSG00000170222	NM_020233	NP_064618	
ENSG00000170222			
ENSG00000117122	NM_002403	NP_002394	
ENSG00000117122	NM_017459	NP_002394	
ENSG00000117122	NM_001135247	NP_002394	
ENSG00000117122	NM_001135248	NP_002394	
ENSG00000117122	NM_002403	NP_059453	
ENSG00000117122	NM_017459	NP_059453	
ENSG00000117122	NM_001135247	NP_059453	
ENSG00000117122	NM_001135248	NP_059453	
ENSG00000117122	NM_001135247	NP_001128720	
ENSG00000117122	NM_001135248	NP_001128720	
ENSG00000117122	NM_001135247	NP_001128719	
ENSG00000117122	NM_001135248	NP_001128719	
ENSG00000115290	NM_004490	NP_004481	
ENSG00000115290			
ENSG00000187824	NM_001004313	NP_001004313	
ENSG00000187824			
ENSG00000162482	NM_012067	NP_036199	
ENSG00000233670	NM_001101387	NP_001094857	
ENSG00000188803	NM_207386	NP_997269	
ENSG00000188803	NM_001173462	NP_001166933	
ENSG00000188803			
ENSG00000188803	NM_001173461	NP_001166932	
ENSG00000159363	NM_022089	NP_071372	
ENSG00000159363	NM_001141974	NP_001135446	
ENSG00000159363	NM_022089	NP_001135445	
ENSG00000159363	NM_001141973	NP_001135445	
ENSG00000053371	NM_003689	NP_003680	
ENSG00000053371			
ENSG00000159363			
ENSG00000179477	NM_001139	NP_001130	
ENSG00000082438			
ENSG00000214999			
ENSG00000082438	NM_014900	NP_055715	
ENSG00000179148		NP_067641	
ENSG00000179148	NM_001165960	NP_001159432	
ENSG00000179148	NM_001165960	NP_067641	
ENSG00000179148	NM_021628	NP_067641	
ENSG00000082438		NP_055715	
ENSG00000136536	NM_022826	NP_073737	
ENSG00000136536			
ENSG00000007174	NM_001372	NP_004653	
ENSG00000007174	NM_001372	NP_001363	
ENSG00000007174			
ENSG00000007174	NM_004662	NP_004653	
ENSG00000179111	NM_001165967	NP_001159439	
ENSG00000179111	NM_032580	NP_115969	
ENSG00000241399	NM_014880	NP_055695	
ENSG00000241399	NM_001198763	NP_001185692	
ENSG00000179094	NM_002616	NP_002607	
ENSG00000179094			
ENSG00000040487	NM_017765	NP_001035215	
ENSG00000040487	NM_001040125	NP_001035215	
ENSG00000040487	NM_017765	NP_001035214	
ENSG00000040487	NM_001040125	NP_001035214	
ENSG00000040487	NM_017765	NP_060235	
ENSG00000040487	NM_001040125	NP_060235	
ENSG00000040487			
ENSG00000040487	NM_001040126	NP_001035215	
ENSG00000054219	NM_002349	NP_002340	
ENSG00000116138	NM_015291	NP_056106	
ENSG00000116138			
ENSG00000054219		NP_001185688	
ENSG00000054219		NP_001185689	
ENSG00000174282	NM_020899	NP_001122305	
ENSG00000174282	NM_001128833	NP_001122305	
ENSG00000174282	NM_020899	NP_065950	
ENSG00000174282	NM_001128833	NP_065950	
ENSG00000077549	NM_001206541	NP_001193470	
ENSG00000220205	NM_014232	NP_055047	
ENSG00000220205			
ENSG00000077549			
ENSG00000154252	NM_022134	NP_071417	
ENSG00000077549	NM_001206540	NP_001193469	
ENSG00000181222	NM_001102614	NP_001096084	
ENSG00000077549	NM_004930	NP_004921	
ENSG00000181222			
ENSG00000077549		NP_001193469	
ENSG00000181222	NM_000937	NP_000928	
ENSG00000204099	NM_001167600	NP_001161074	
ENSG00000204099	NM_001167601	NP_001161074	
ENSG00000204099	NM_001167602	NP_001161074	
ENSG00000204099	NM_001167600	NP_001161073	
ENSG00000204099	NM_001167601	NP_001161073	
ENSG00000204099	NM_001167602	NP_001161073	
ENSG00000204099	NM_001167600	NP_001161072	
ENSG00000204099	NM_001167601	NP_001161072	
ENSG00000204099	NM_001167602	NP_001161072	
ENSG00000204099			
ENSG00000179029			
ENSG00000179029	NM_183065	NP_898888	
ENSG00000204099	NM_080741	NP_001161074	
ENSG00000204099	NM_001167599	NP_001161074	
ENSG00000204099	NM_080741	NP_001161073	
ENSG00000204099	NM_001167599	NP_001161073	
ENSG00000204099	NM_080741	NP_001161072	
ENSG00000204099	NM_001167599	NP_001161072	
ENSG00000204099	NM_080741	NP_542779	
ENSG00000204099	NM_001167599	NP_542779	
ENSG00000179029	NM_032354	NP_115730	
ENSG00000204099	NM_001167599	NP_001161071	
ENSG00000169507	NM_173512	NP_775783	
ENSG00000105664			
ENSG00000117118	NM_003000	NP_002991	
ENSG00000169507	NM_001199148	NP_001186077	
ENSG00000169507			
ENSG00000196504	NM_017892	NP_060362	
ENSG00000169507		NP_001186077	
ENSG00000196504			
ENSG00000105664	NM_000095	NP_000086	
ENSG00000154957	NM_144680	NP_653281	
ENSG00000196544	NM_017622	NP_060092	
ENSG00000065559	NM_003010	NP_003001	
ENSG00000065559			
ENSG00000178999	NM_004217	NP_004208	
ENSG00000239697	NM_003809	NP_003800	
ENSG00000137948	NM_001242805	NP_001229739	
ENSG00000137948	NM_001726	NP_001229739	
ENSG00000137948	NM_207189	NP_001229739	
ENSG00000137948	NM_001242805	NP_001229735	
ENSG00000137948	NM_001726	NP_001229735	
ENSG00000137948	NM_207189	NP_001229735	
ENSG00000137948	NM_001242805	NP_001229734	
ENSG00000137948	NM_001726	NP_001229734	
ENSG00000137948	NM_207189	NP_001229734	
ENSG00000137948	NM_001242805	NP_997072	
ENSG00000137948	NM_001726	NP_997072	
ENSG00000137948	NM_207189	NP_997072	
ENSG00000137948	NM_001242805	NP_001717	
ENSG00000137948	NM_001726	NP_001717	
ENSG00000137948	NM_207189	NP_001717	
ENSG00000178999			
ENSG00000239697			
ENSG00000137948	NM_001242810	NP_001229739	
ENSG00000137948			
ENSG00000239697	NM_172089	NP_742086	
ENSG00000117115	NM_007365	NP_031391	
ENSG00000117115			
ENSG00000137948	NM_001242806	NP_001229739	
ENSG00000137948	NM_001242806	NP_001229735	
ENSG00000137948	NM_001242806	NP_001229734	
ENSG00000137948	NM_001242806	NP_997072	
ENSG00000137948	NM_001242806	NP_001717	
ENSG00000137948	NM_001242807	NP_001229737	
ENSG00000137948	NM_001242808	NP_001229737	
ENSG00000137948	NM_001242807	NP_001229736	
ENSG00000137948	NM_001242808	NP_001229736	
ENSG00000141579	NM_024702	NP_078978	
ENSG00000248672	NM_001198759	NP_001185688	
ENSG00000141579			
ENSG00000248672	NM_001198760	NP_001185689	
ENSG00000141052	NM_001146312	NP_001139784	
ENSG00000175711	NM_001009905	NP_001009905	
ENSG00000176845	NM_001004431	NP_001004431	
ENSG00000116771	NM_024758	NP_079034	
ENSG00000232938			
ENSG00000141052	NM_153604	NP_705832	
ENSG00000141052	NM_001146313	NP_001139785	
ENSG00000141052			
ENSG00000188389	NM_005018	NP_005009	
ENSG00000188389			
ENSG00000178971	NM_025099	NP_079375	
ENSG00000248871	NM_172089	NP_742086	
ENSG00000178971			
ENSG00000197312	NM_032341	NP_115717	
ENSG00000197312	NM_006511	NP_115717	
